year,Langkaan,Sampaloc,San Agustin,Poblacion,Salitran,Resettlement Area,Sabang,Salawag,San Jose,Paliparan
"2,020",28.027,28.149,29.293,29.293,29.293,29.293,29.293,29.293,29.293,28.763
"2,021",26.951,27.148,29.005,29.005,29.005,29.005,29.005,29.005,29.005,28.144
"2,022",27.481,27.645,29.189,29.189,29.189,29.189,29.189,29.189,29.189,28.473
"2,023",27.582,27.777,29.615,29.615,29.615,29.615,29.615,29.615,29.615,28.763
"2,024",28.22,28.416,30.258,30.258,30.258,30.258,30.258,30.258,30.258,29.404
