year,Langkaan,Sampaloc,San Agustin,Poblacion,Salitran,Resettlement Area,Sabang,Salawag,San Jose,Paliparan
"2,020",26.497,26.565,27.207,27.207,27.207,27.207,27.207,27.207,27.207,26.909
"2,021",26.133,26.203,26.854,26.854,26.854,26.854,26.854,26.854,26.854,26.552
"2,022",26.282,26.354,27.034,27.034,27.034,27.034,27.034,27.034,27.034,26.719
"2,023",26.259,26.33,26.999,26.999,26.999,26.999,26.999,26.999,26.999,26.689
"2,024",26.809,26.879,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.228
