year,Langkaan,Sampaloc,San Agustin,Poblacion,Salitran,Resettlement Area,Sabang,Salawag,San Jose,Paliparan
"2,020",-0.09,-0.093,-0.079,-0.07,-0.041,0.025,-0.029,-0.033,-0.079,-0.057
"2,021",-0.104,-0.101,-0.09,-0.08,-0.067,0.014,-0.034,-0.061,-0.071,-0.062
"2,022",-0.094,-0.102,-0.073,-0.048,-0.058,0.028,-0.066,-0.053,-0.073,-0.073
"2,023",-0.074,-0.088,-0.059,-0.035,-0.015,0.045,-0.007,-0.023,-0.032,-0.048
"2,024",0.01,-0.023,-0.011,-0.001,0.02,0.076,0.025,0.06,0.013,0.038
