year,Langkaan,Sampaloc,San Agustin,Poblacion,Salitran,Resettlement Area,Sabang,Salawag,San Jose,Paliparan
"2,020",79.59,79.404,77.648,77.648,77.648,77.648,77.648,77.648,77.648,78.462
"2,021",81.063,80.876,79.115,79.115,79.115,79.115,79.115,79.115,79.115,79.932
"2,022",81.095,80.891,78.971,78.971,78.971,78.971,78.971,78.971,78.971,79.862
"2,023",81.696,81.527,79.935,79.935,79.935,79.935,79.935,79.935,79.935,80.673
"2,024",79.045,78.886,77.391,77.391,77.391,77.391,77.391,77.391,77.391,78.084
